cik,ticker,year_old,year_new,filepath,n_added,n_removed,similarity,added_ratio
14272,BMY,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/14272_2015_2016.json,41,48,0.5989,0.3203
14272,BMY,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/14272_2016_2017.json,71,62,0.2926,0.5182
14272,BMY,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/14272_2017_2018.json,68,46,0.0875,0.4277
14272,BMY,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/14272_2018_2019.json,100,51,0.1924,0.4808
14272,BMY,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/14272_2019_2020.json,138,115,0.0562,0.5974
14272,BMY,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/14272_2020_2021.json,153,93,0.0915,0.5258
14272,BMY,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/14272_2021_2022.json,127,100,0.1187,0.4006
14272,BMY,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/14272_2022_2023.json,107,174,0.4275,0.428
97745,TMO,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/97745_2015_2016.json,31,43,0.0456,0.1824
97745,TMO,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/97745_2016_2017.json,33,40,0.5936,0.2025
97745,TMO,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/97745_2017_2018.json,53,33,0.5291,0.2896
97745,TMO,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/97745_2018_2019.json,39,29,0.2081,0.2021
97745,TMO,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/97745_2019_2020.json,53,37,0.6694,0.2524
97745,TMO,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/97745_2020_2021.json,59,44,0.1638,0.2622
97745,TMO,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/97745_2021_2022.json,72,56,0.4002,0.2988
97745,TMO,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/97745_2022_2023.json,53,59,0.2981,0.2255
100885,UNP,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/100885_2022_2023.json,34,36,0.706,0.3063
354950,HD,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/354950_2015_2016.json,58,54,0.3447,0.4113
354950,HD,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/354950_2016_2017.json,65,63,0.2021,0.4545
354950,HD,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/354950_2017_2018.json,92,64,0.3161,0.538
354950,HD,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/354950_2018_2019.json,80,64,0.41,0.4278
354950,HD,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/354950_2019_2020.json,84,57,0.6195,0.3925
354950,HD,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/354950_2020_2021.json,161,112,0.2608,0.6122
354950,HD,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/354950_2021_2022.json,127,125,0.2025,0.4792
354950,HD,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/354950_2022_2023.json,142,143,0.1222,0.5379
40533,GE,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/40533_2015_2016.json,46,47,0.6832,0.4
40533,GE,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/40533_2016_2017.json,25,23,0.6784,0.2137
40533,GE,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/40533_2017_2018.json,15,16,0.7676,0.1293
40533,GE,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/40533_2018_2019.json,28,19,0.8637,0.224
40533,GE,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/40533_2019_2020.json,23,29,0.4325,0.1933
40533,GE,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/40533_2020_2021.json,28,18,0.6951,0.2171
40533,GE,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/40533_2021_2022.json,28,23,0.6495,0.209
40533,GE,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/40533_2022_2023.json,64,57,0.6551,0.4539
60667,LOW,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/60667_2015_2016.json,99,54,0.2191,0.6781
60667,LOW,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/60667_2016_2017.json,59,65,0.3804,0.4214
60667,LOW,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/60667_2017_2018.json,52,29,0.2898,0.319
60667,LOW,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/60667_2018_2019.json,58,36,0.0211,0.3135
60667,LOW,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/60667_2019_2020.json,48,59,0.5954,0.2759
60667,LOW,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/60667_2020_2021.json,61,51,0.1318,0.3333
60667,LOW,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/60667_2021_2022.json,115,81,0.2467,0.53
60667,LOW,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/60667_2022_2023.json,92,87,0.3079,0.4144
19617,JPM,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/19617_2015_2016.json,151,129,0.0621,0.5412
19617,JPM,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/19617_2016_2017.json,173,128,0.1504,0.534
19617,JPM,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/19617_2017_2018.json,415,313,0.0098,0.9742
19617,JPM,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/19617_2018_2019.json,292,235,0.1351,0.6046
19617,JPM,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/19617_2019_2020.json,163,198,0.2606,0.3638
19617,JPM,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/19617_2020_2021.json,249,207,0.3292,0.5082
19617,JPM,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/19617_2021_2022.json,189,227,0.1311,0.4181
19617,JPM,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/19617_2022_2023.json,135,156,0.0304,0.3132
886982,GS,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/886982_2015_2016.json,175,130,0.1339,0.4279
886982,GS,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/886982_2018_2019.json,168,130,0.1666,0.3256
886982,GS,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/886982_2019_2020.json,205,189,0.0547,0.3853
886982,GS,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/886982_2020_2021.json,224,153,0.0839,0.3672
886982,GS,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/886982_2021_2022.json,163,166,0.0936,0.2685
886982,GS,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/886982_2022_2023.json,242,171,0.2042,0.3591
731766,UNH,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/731766_2015_2016.json,82,91,0.6236,0.3048
731766,UNH,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/731766_2016_2017.json,41,43,0.8045,0.1536
731766,UNH,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/731766_2017_2018.json,95,95,0.5534,0.3558
731766,UNH,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/731766_2018_2019.json,73,67,0.6928,0.2674
731766,UNH,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/731766_2019_2020.json,43,43,0.7804,0.1575
731766,UNH,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/731766_2020_2021.json,138,110,0.3332,0.4585
731766,UNH,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/731766_2021_2022.json,78,74,0.7032,0.2557
731766,UNH,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/731766_2022_2023.json,98,108,0.2605,0.3322
858877,CSCO,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/858877_2015_2016.json,61,59,0.8995,0.1821
858877,CSCO,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/858877_2016_2017.json,54,59,0.9438,0.1636
858877,CSCO,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/858877_2017_2018.json,48,44,0.9282,0.1437
858877,CSCO,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/858877_2018_2019.json,58,69,0.8796,0.1796
858877,CSCO,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/858877_2019_2020.json,81,48,0.8492,0.2275
858877,CSCO,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/858877_2020_2021.json,151,144,0.1062,0.416
858877,CSCO,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/858877_2021_2022.json,99,83,0.1913,0.2612
858877,CSCO,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/858877_2022_2023.json,79,100,0.499,0.2213
109198,TJX,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/109198_2015_2016.json,1562,83,0.0709,0.9243
109198,TJX,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/109198_2016_2017.json,861,993,0.3439,0.5676
109198,TJX,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/109198_2017_2018.json,116,1408,0.0413,0.5156
109198,TJX,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/109198_2018_2019.json,111,120,0.0357,0.5139
109198,TJX,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/109198_2019_2020.json,77,60,0.5967,0.3305
109198,TJX,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/109198_2020_2021.json,161,145,0.0533,0.6466
109198,TJX,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/109198_2021_2022.json,123,114,0.3466,0.4767
109198,TJX,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/109198_2022_2023.json,132,130,0.1765,0.5077
318154,AMGN,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/318154_2015_2016.json,202,239,0.0613,0.6312
318154,AMGN,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/318154_2016_2017.json,213,171,0.5035,0.5884
318154,AMGN,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/318154_2017_2018.json,183,129,0.3484,0.4399
318154,AMGN,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/318154_2018_2019.json,225,174,0.5305,0.4808
318154,AMGN,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/318154_2019_2020.json,293,238,0.5545,0.5602
318154,AMGN,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/318154_2020_2021.json,339,204,0.2268,0.506
318154,AMGN,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/318154_2021_2022.json,260,264,0.5144,0.3875
318154,AMGN,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/318154_2022_2023.json,230,248,0.5635,0.3538
316709,SCHW,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/316709_2015_2016.json,75,77,0.2035,0.4658
316709,SCHW,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/316709_2016_2017.json,61,72,0.3004,0.4067
316709,SCHW,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/316709_2017_2018.json,124,124,0.0807,0.8267
316709,SCHW,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/316709_2018_2019.json,41,33,0.6725,0.2595
316709,SCHW,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/316709_2019_2020.json,82,29,0.2162,0.3886
316709,SCHW,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/316709_2020_2021.json,132,108,0.0851,0.5617
316709,SCHW,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/316709_2021_2022.json,57,51,0.8197,0.2365
316709,SCHW,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/316709_2022_2023.json,60,63,0.6029,0.2521
1800,ABT,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/1800_2015_2016.json,25,19,0.8204,0.1773
1800,ABT,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/1800_2016_2017.json,59,51,0.4187,0.396
1800,ABT,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/1800_2017_2018.json,20,36,0.6201,0.1504
1800,ABT,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/1800_2018_2019.json,23,21,0.8489,0.1704
1800,ABT,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/1800_2019_2020.json,70,92,0.1537,0.6195
1800,ABT,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/1800_2020_2021.json,3835,32,0.015,0.9793
1800,ABT,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/1800_2021_2022.json,631,3068,0.1473,0.4275
1800,ABT,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/1800_2022_2023.json,84,1391,0.0436,0.497
70858,BAC,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/70858_2015_2016.json,211,257,0.199,0.4648
70858,BAC,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/70858_2016_2017.json,249,274,0.1127,0.5804
70858,BAC,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/70858_2017_2018.json,182,176,0.1474,0.4184
70858,BAC,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/70858_2018_2019.json,241,205,0.4968,0.5117
70858,BAC,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/70858_2019_2020.json,277,244,0.3256,0.5496
70858,BAC,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/70858_2020_2021.json,325,304,0.165,0.619
70858,BAC,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/70858_2021_2022.json,295,274,0.2378,0.5194
70858,BAC,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/70858_2022_2023.json,340,404,0.0213,0.6925
723254,CVS,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/723254_2015_2016.json,17,28,0.7956,0.1382
723254,CVS,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/723254_2016_2017.json,22,18,0.7898,0.1732
723254,CVS,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/723254_2017_2018.json,21,11,0.8948,0.1533
723254,CVS,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/723254_2018_2019.json,13,17,0.8078,0.0977
723254,CVS,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/723254_2019_2020.json,38,31,0.6992,0.2714
723254,CVS,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/723254_2020_2021.json,28,26,0.5146,0.1972
723254,CVS,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/723254_2021_2022.json,34,20,0.8058,0.2179
723254,CVS,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/723254_2022_2023.json,23,25,0.6315,0.1494
200406,JNJ,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/200406_2015_2016.json,1,1,0.9874,0.3333
200406,JNJ,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/200406_2016_2017.json,117,2,0.0291,0.9915
200406,JNJ,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/200406_2017_2018.json,36,30,0.8384,0.2903
200406,JNJ,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/200406_2018_2019.json,37,29,0.7455,0.2803
200406,JNJ,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/200406_2019_2020.json,21,17,0.8478,0.1533
200406,JNJ,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/200406_2020_2021.json,78,49,0.3934,0.4699
200406,JNJ,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/200406_2021_2022.json,98,66,0.7598,0.4949
200406,JNJ,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/200406_2022_2023.json,55,36,0.8131,0.2535
32604,EMR,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/32604_2015_2016.json,24,24,0.2277,0.4
32604,EMR,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/32604_2016_2017.json,19,16,0.8256,0.3016
32604,EMR,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/32604_2017_2018.json,36,21,0.6025,0.4615
32604,EMR,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/32604_2018_2019.json,17,13,0.8299,0.2073
32604,EMR,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/32604_2019_2020.json,37,21,0.4104,0.3776
32604,EMR,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/32604_2020_2021.json,28,18,0.6416,0.2593
32604,EMR,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/32604_2021_2022.json,30,26,0.5695,0.2679
32604,EMR,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/32604_2022_2023.json,26,28,0.6338,0.2364
320193,AAPL,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/320193_2015_2016.json,43,45,0.2286,0.1558
320193,AAPL,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/320193_2016_2017.json,61,62,0.8048,0.2218
320193,AAPL,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/320193_2017_2018.json,139,126,0.2801,0.4826
320193,AAPL,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/320193_2018_2019.json,101,107,0.3727,0.3582
320193,AAPL,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/320193_2019_2020.json,80,57,0.4955,0.2623
320193,AAPL,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/320193_2020_2021.json,180,159,0.0571,0.5521
320193,AAPL,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/320193_2021_2022.json,87,70,0.037,0.2536
320193,AAPL,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/320193_2022_2023.json,84,103,0.1728,0.2593
50863,INTC,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/50863_2015_2016.json,41,41,0.7274,0.1925
50863,INTC,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/50863_2016_2017.json,66,51,0.4202,0.2895
78003,PFE,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/78003_2015_2016.json,230,136,0.0882,0.6037
78003,PFE,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/78003_2016_2017.json,137,199,0.6514,0.4295
78003,PFE,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/78003_2017_2018.json,144,106,0.6877,0.4034
78003,PFE,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/78003_2018_2019.json,240,161,0.61,0.5505
78003,PFE,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/78003_2019_2020.json,214,186,0.6195,0.4612
78003,PFE,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/78003_2020_2021.json,229,407,0.1619,0.8035
78003,PFE,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/78003_2021_2022.json,132,111,0.6071,0.4314
